1956,2.82
1957,3.17
1958,1.30
1959,1.23
1960,0.30
1961,0.99
1962,1.40
1963,2.15
1964,4.17
1965,4.07
1966,4.18
1967,2.73
1968,2.70
1969,3.75
1970,3.91
1971,4.34
1972,5.44
1973,6.96
1974,12.63
1975,12.84
1976,9.10
1977,7.11
1978,4.48
1979,4.46
1980,6.64
1981,7.62
1982,8.72
1983,7.68
1984,6.36
1985,4.87
1986,1.30
1987,1.55
1988,1.16
1989,3.10
1990,3.45
1991,3.22
1992,2.43
1993,2.75
1994,2.38
1995,1.47
1996,2.07
1997,1.63
1998,0.95
1999,1.12
2000,2.54
2001,2.47
2002,1.65
2003,1.59
2004,2.08
2005,2.80
2006,1.79
2007,1.82
2008,4.49
2010,2.19
2011,3.53
2012,2.96
